model,N,n_qubits,noise_regime,noise_level,replicate,train_auc,val_score,test_auc,gen_gap,best_epoch,restarts_used,escaped,n_train,n_params,seed,train_secs
equivariant,200,2,correlated,mid,5,0.8192187500000001,0.7825,0.843512,-0.024293249999999933,35,1,True,200,27,2273803658,152.56
non_equivariant,200,4,none,none,15,0.8649155722326454,0.7878787878787878,0.8339555000000001,0.030960072232645297,34,1,True,200,61,1188117459,14.83
classical_matched,50,0,none,none,18,0.6363636363636364,0.8571428571428571,0.581642,0.05472163636363636,26,1,True,50,61,615395648,0.17
equivariant,20,4,none,none,16,0.21875,0.5,0.41128149999999997,-0.19253149999999997,26,1,True,20,61,1854664226,10.43
classical_reference,20,0,none,none,2,0.9523809523809524,1.0,0.771355,0.18102595238095243,37,1,True,20,641,1636654757,0.16
classical_reference,50,0,none,none,11,0.8125,0.8400000000000001,0.6501415,0.16235849999999996,26,1,True,50,641,3765858321,0.2
classical_matched,20,0,none,none,6,0.6190476190476191,1.0,0.43904299999999996,0.1800046190476191,26,1,True,20,61,383150152,0.1
non_equivariant,200,2,correlated,low,3,0.8598218471636193,0.9348370927318297,0.812055,0.04776684716361934,45,1,True,200,27,3531259822,191.45
classical_matched,50,0,none,none,9,0.44360902255639095,0.7916666666666666,0.5771985000000001,-0.1335894774436091,26,1,True,50,61,4218029181,0.14
equivariant,200,2,correlated,mid,7,0.7562196839305272,0.8286445012787724,0.80711,-0.05089031606947281,26,1,True,200,27,2152804316,118.06
classical_reference,200,0,none,none,17,0.90234375,0.8575,0.8559029999999999,0.04644075000000014,26,1,True,200,641,2689945687,2.65
classical_matched,100,0,none,none,16,0.630952380952381,0.71875,0.6031569999999999,0.0277953809523811,26,1,True,100,61,1687964487,0.21
equivariant,200,4,iid,low,8,0.8701176470588237,0.8,0.842581,0.027536647058823638,26,1,True,200,61,4118718478,412.45
non_equivariant,200,6,correlated,mid,7,0.8781098419652636,0.8337595907928388,0.847322,0.03078784196526363,31,1,True,200,103,2152804316,930.5
equivariant,200,4,correlated,high,2,0.87328125,0.925,0.6719494999999999,0.20133175000000014,41,1,True,200,61,3918929753,190.19
non_equivariant,500,4,none,none,2,0.8836499999999999,0.8744000000000001,0.8500809999999999,0.03356900000000007,26,1,True,500,61,785183859,21.54
equivariant,200,8,correlated,high,0,0.8639774859287054,0.7575757575757576,0.7451029999999998,0.11887448592870553,26,1,True,200,153,3832603222,3676.73
equivariant,200,4,iid,high,1,0.9212955718979815,0.959079283887468,0.86374,0.05755557189798155,54,1,True,200,61,1751689673,692.75
non_equivariant,200,4,correlated,low,5,0.8748437499999999,0.9125,0.835123,0.03972074999999997,45,1,True,200,61,2273803658,576.43
non_equivariant,200,2,correlated,low,6,0.8281641604010026,0.9401041666666666,0.8182680000000001,0.009896160401002496,26,1,True,200,27,419792074,116.18
non_equivariant,20,4,none,none,15,0.31666666666666665,-0.6968187689781189,0.49628400000000006,-0.1796173333333334,26,1,True,20,61,917964501,3.44
equivariant,200,6,correlated,high,6,0.7551691729323308,0.9505208333333334,0.8102685,-0.05509932706766918,26,1,True,200,103,419792074,842.72
